"research_id","status_id","date_at","history_note","instant_name","history_id"
4605,4,"2015-11-18","Culminado al 18-11-2015 presento :  -Informe final -Articulo cientifico","Culminado",9512
4605,2,"2018-11-21","Inicio de investigacion","Nuevo",9511
4606,4,"2008-02-01","Culminado al 01-02-2008 presento :  -Informe final -Articulo cientifico","Culminado",9514
4606,2,"2018-11-22","Inicio de investigacion","Nuevo",9513
4607,4,"2008-02-16","Culminado al 22-11-2018 presento :  -Informe final -Articulo cientifico","Culminado",9516
4607,2,"2018-11-22","Inicio de investigacion","Nuevo",9515
4609,4,"2017-04-14","Culminado al 14-04-2017 presento :  -Informe final -Articulo cientifico -CD","Culminado",9524
4609,2,"2018-11-22","Inicio de investigacion","Nuevo",9517
4610,4,"2018-03-23","Culminado al 23-03-2018 presento :  -Informe final -Articulo cientifico -CD","Culminado",9519
4610,2,"2018-11-22","Inicio de investigacion","Nuevo",9518
4611,2,"2018-09-28","Inicio de investigacion","Nuevo",9525
4611,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9705
4611,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9805
4611,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10066
4611,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10252
4611,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta - ampliacion","En Ejecucion",10396
4611,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10734
4611,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10735
4611,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10736
4611,3,"2020-08-20","En Ejecucion al 20-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10827
4612,2,"2018-09-28","Inicio de investigacion","Nuevo",9526
4612,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9704
4612,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9804
4612,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10065
4612,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10251
4612,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10394
4612,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10729
4612,3,"2020-06-20","En Ejecucion al 20-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10730
4612,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10731
4612,3,"2020-08-20","En Ejecucion al 20-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10825
4613,2,"2018-09-28","Inicio de investigacion","Nuevo",9527
4613,3,"2018-12-28","En Ejecucion al 28-12-2018 presento :  -Informe Trimestral -Carta","En Ejecucion",9703
4613,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9803
4613,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10064
4613,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10250
4613,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10393
4613,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10726
4613,3,"2020-06-20","En Ejecucion al 20-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10727
4613,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10728
4614,2,"2018-12-17","Inicio de investigacion","Nuevo",9528
4614,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10030
4614,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10216
4614,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10360
4614,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10564
4614,3,"2020-06-20","En Ejecucion al 20-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10565
4614,4,"2020-07-31","Culminado al 31-07-2020 presento :  -Informe final -Articulo cientifico -CD","Culminado",10566
4615,2,"2018-12-19","Inicio de investigacion","Nuevo",9529
4615,4,"2018-12-19","Culminado al 19-12-2018 presento :  -Informe final -Articulo cientifico -CD","Culminado",9530
4616,2,"2018-12-19","Inicio de investigacion","Nuevo",9531
4616,4,"2018-12-19","Culminado al 19-12-2018 presento :  -Informe final -Articulo cientifico -CD","Culminado",9532
4617,2,"2018-12-20","Inicio de investigacion","Nuevo",9533
4618,2,"2019-01-14","Inicio de investigacion","Nuevo",9536
4618,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10032
4618,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10218
4618,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10362
4618,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10570
4618,3,"2020-06-20","En Ejecucion al 20-06-2020 presento :  -Carta","En Ejecucion",10572
4618,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10573
4618,3,"2020-08-20","En Ejecucion al 20-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10803
4618,3,"2020-09-30","En Ejecucion al 30-09-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10878
4618,3,"2020-12-30","En Ejecucion al 30-12-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10938
4618,3,"2021-03-29","En Ejecucion al 29-03-2021 presento :  -Informe Trimestral -Carta","En Ejecucion",11167
4618,3,"2021-06-30","En Ejecucion al 30-06-2021 presento :  -Informe Trimestral -Carta","En Ejecucion",11386
4619,2,"2019-01-14","Inicio de investigacion","Nuevo",9537
4619,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9755
4619,3,"2019-06-27","En Ejecucion al 27-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9877
4619,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10025
4619,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10212
