"type","type_name","name","date","research_id"
NULL,NULL,"Dendrologia del genero triplaris (tangarana) en el Peru y etnobotanica de las especies de Tingo Maria.","1999-11-01",1353
NULL,NULL,"Utilizacion de tallos de especies arboreas y arbustivas para el establecimiento de sombra en pasturas destinafas al pastoreo.","1999-10-20",985
2,"Articulo cientifico","Fuente nitrica y amoniacal de nitrogeno en la produccion de Hortalizas en un Huerto Horticola con fertirrigacion","1999-09-20",1
NULL,NULL,"Estudio fitoquimico preliminar de plantas con propiedades plaguicidas.","1999-09-20",3473
NULL,NULL,"Impacto de la inseminacion artificial en el ambito de influencia de la UNAS.","1999-09-18",1023
NULL,NULL,"Constantes fisiologicas y hematologicas de los animales silvestres (Dasyprocta sp, Cuniculus paca, Hidrochoerus hidrochoeris)","1999-09-08",1022
2,"Articulo cientifico","Factores que propician las infracciones laborales en la UNAS.","1999-09-02",16
NULL,NULL,"Gestion educativa en la facultad de ciencias economicas y administrativas de la UNAS periodo 1994-1999","1999-09-01",407
NULL,NULL,"Control del gorgojo negro (Cosmopolites sordidus Germar) y gorgojo rayado (Matamasius hemipteros L.) del platano con Beauveria bassiana (Bals.) Vuill. bajo condiciones de campo y laboratorio","1999-08-21",3379
2,"Articulo cientifico","Perfil psicopedagogico de estudiantes universitaios sobresalientes: Estudio comparativo  longitudinal.","1999-07-21",14
NULL,NULL,"Efecto de la aplicacion de cinco herbicidas y las mezclas de algunos de ellos en el control de malezas de cultivo citricos en epoca de lluvias en Tingo Maria.","1999-07-20",3326
1,"Tesis","Fertilizacion NPK del arroz (Oryza sativa L.) variedad Ucayali-91 mediante la tecnica del elemento faltante en condiciones de secado favorecido.","1999-07-20",1295
