"research_id","role","author_id","name","responsible_id"
4357,"Tesista",3731,"Proyecto de Tesis",16581
4357,"Asesor",136,"Proyecto de Tesis",16582
4358,"Asesor",140,"Proyecto de Tesis",16586
4358,"Tesista",3732,"Proyecto de Tesis",16585
4359,"Tesista",3733,"Proyecto de Tesis",16587
4359,"Asesor",171,"Proyecto de Tesis",16588
4360,"Tesista",3734,"Proyecto de Tesis",16591
4360,"Asesor",171,"Proyecto de Tesis",16592
4361,"Tesista",3735,"Proyecto de Tesis",16595
4377,"Tesista",3736,"Proyecto de Tesis",16598
4377,"Asesor",50,"Proyecto de Tesis",16599
4378,"Asesor",61,"Proyecto de Tesis",16602
4378,"Tesista",3308,"Proyecto de Tesis",16603
4379,"Asesor",64,"Proyecto de Tesis",16605
4379,"Tesista",3737,"Proyecto de Tesis",16604
4380,"Tesista",3738,"Proyecto de Tesis",16608
4380,"Asesor",919,"Proyecto de Tesis",16609
4381,"Tesista",3309,"Proyecto de Tesis",16612
4381,"Asesor",919,"Proyecto de Tesis",16613
4382,"Tesista",3739,"Proyecto de Tesis",16616
4382,"Asesor",64,"Proyecto de Tesis",16617
4383,"Miembro ordinario",94,"Proyecto de Investigacion",16624
4384,"Asesor",235,"Proyecto de Tesis",16635
4384,"Tesista",3697,"Proyecto de Tesis",16634
4385,"Co-Asesor",338,"Proyecto de Tesis",16638
4385,"Tesista",3743,"Proyecto de Tesis",16636
4385,"Asesor",40,"Proyecto de Tesis",16637
4386,"Miembro ordinario",357,"Proyecto de Investigacion",16639
4386,"Miembro equipo de trabajo",3522,"Proyecto de Investigacion",16641
4386,"Miembro equipo de trabajo",919,"Proyecto de Investigacion",16640
4387,"Miembro equipo de trabajo",53,"Proyecto de Investigacion",16644
4387,"Miembro ordinario",64,"Proyecto de Investigacion",16642
4387,"Miembro extraordinario",67,"Proyecto de Investigacion",16643
4388,"Asesor",26,"Proyecto de Tesis",16646
4388,"Tesista",3744,"Proyecto de Tesis",16645
4389,"Miembro ordinario",70,"Proyecto de Investigacion",16649
4389,"Miembro extraordinario",3919,"Proyecto de Investigacion",18253
4390,"Miembro ordinario",54,"Proyecto de Investigacion",16650
4391,"Miembro ordinario",60,"Proyecto de Investigacion",16651
4392,"Co-Asesor",4,"Proyecto de Tesis",16655
4392,"Tesista",3745,"Proyecto de Tesis",16653
4392,"Asesor",1351,"Proyecto de Tesis",16654
4393,"Tesista",3746,"Proyecto de Tesis",16660
4393,"Co-Asesor",12,"Proyecto de Tesis",16662
4393,"Asesor",4,"Proyecto de Tesis",16661
4394,"Miembro ordinario",12,"Proyecto de Investigacion",16666
4395,"Miembro ordinario",182,"Proyecto de Investigacion",16667
4395,"Miembro extraordinario",324,"Proyecto de Investigacion",16668
4396,"Miembro ordinario",27,"Proyecto de Investigacion",16669
4396,"Miembro equipo de trabajo",18,"Proyecto de Investigacion",16671
4396,"Miembro extraordinario",15,"Proyecto de Investigacion",16670
4397,"Co-Asesor",3243,"Proyecto de Tesis",16674
4397,"Tesista",3747,"Proyecto de Tesis",16672
4397,"Asesor",15,"Proyecto de Tesis",16673
4398,"Miembro equipo de trabajo",334,"Proyecto de Investigacion",16679
4398,"Miembro equipo de trabajo",152,"Proyecto de Investigacion",16678
4398,"Miembro extraordinario",129,"Proyecto de Investigacion",16677
4398,"Miembro ordinario",151,"Proyecto de Investigacion",16676
4399,"Miembro ordinario",382,"Proyecto de Investigacion",16680
4399,"Miembro extraordinario",348,"Proyecto de Investigacion",17311
4400,"Miembro equipo de trabajo",164,"Proyecto de Investigacion",16683
4400,"Miembro extraordinario",236,"Proyecto de Investigacion",16682
4400,"Miembro ordinario",162,"Proyecto de Investigacion",16681
4400,"Otros",3770,"Proyecto de Investigacion",16793
4401,"Miembro ordinario",312,"Proyecto de Investigacion",16684
4401,"Miembro equipo de trabajo",362,"Proyecto de Investigacion",16686
4401,"Miembro extraordinario",157,"Proyecto de Investigacion",16685
4405,"Tesista",657,"Proyecto de Tesis",16689
4405,"Asesor",64,"Proyecto de Tesis",16690
4406,"Miembro equipo de trabajo",94,"Proyecto de Investigacion",16695
4406,"Miembro ordinario",92,"Proyecto de Investigacion",16693
4406,"Miembro extraordinario",97,"Proyecto de Investigacion",16694
4407,"Miembro equipo de trabajo",93,"Proyecto de Investigacion",16698
4407,"Miembro ordinario",94,"Proyecto de Investigacion",16696
4407,"Miembro extraordinario",92,"Proyecto de Investigacion",16697
4408,"Tesista",3748,"Proyecto de Tesis",16699
4408,"Asesor",366,"Proyecto de Tesis",16700
4409,"Asesor",235,"Proyecto de Tesis",16702
4409,"Tesista",3749,"Proyecto de Tesis",16701
4409,"Co-Asesor",366,"Proyecto de Tesis",16703
4410,"Co-Asesor",366,"Proyecto de Tesis",16706
4410,"Tesista",3750,"Proyecto de Tesis",16704
4410,"Asesor",71,"Proyecto de Tesis",16705
4411,"Co-Asesor",71,"Proyecto de Tesis",16709
4411,"Tesista",3751,"Proyecto de Tesis",16707
4411,"Asesor",366,"Proyecto de Tesis",16708
4412,"Tesista",3752,"Proyecto de Tesis",16710
4412,"Asesor",366,"Proyecto de Tesis",16711
4413,"Tesista",3753,"Proyecto de Tesis",16712
4413,"Co-Asesor",335,"Proyecto de Tesis",16714
4413,"Asesor",341,"Proyecto de Tesis",16713
4414,"Asesor",3755,"Proyecto de Tesis",16716
4414,"Tesista",3754,"Proyecto de Tesis",16715
4415,"Asesor",85,"Proyecto de Tesis",16718
4415,"Tesista",3756,"Proyecto de Tesis",16717
4416,"Co-Asesor",186,"Proyecto de Tesis",16752
4416,"Asesor",82,"Proyecto de Tesis",16720
4416,"Tesista",3757,"Proyecto de Tesis",16719
4427,"Asesor",3759,"Proyecto de Tesis",16754
4427,"Tesista",3758,"Proyecto de Tesis",16753
4446,"Tesista",3760,"Proyecto de Tesis",16755
4446,"Asesor",397,"Proyecto de Tesis",16756
4447,"Co-Asesor",71,"Proyecto de Tesis",16759
4447,"Tesista",3761,"Proyecto de Tesis",16757
4447,"Asesor",187,"Proyecto de Tesis",16758
4448,"Co-Asesor",3755,"Proyecto de Tesis",16762
4448,"Asesor",15,"Proyecto de Tesis",16761
4448,"Tesista",3762,"Proyecto de Tesis",16760
4449,"Asesor",919,"Proyecto de Tesis",16764
4449,"Tesista",3763,"Proyecto de Tesis",16763
4450,"Asesor",50,"Proyecto de Tesis",16766
4450,"Tesista",3764,"Proyecto de Tesis",16765
4450,"Co-Asesor",359,"Proyecto de Tesis",16767
4451,"Asesor",61,"Proyecto de Tesis",16769
4451,"Tesista",3765,"Proyecto de Tesis",16768
4451,"Co-Asesor",11,"Proyecto de Tesis",16770
4452,"Asesor",50,"Proyecto de Tesis",16772
