"role_name","outcome_id","author_id"
"Miembro extraordinario",4198,350
"Miembro extraordinario",4191,350
"Miembro extraordinario",4185,350
"Miembro extraordinario",4177,350
"Miembro extraordinario",4176,350
"Miembro extraordinario",4171,350
"Miembro ordinario",4185,29
"Miembro ordinario",4177,29
"Miembro ordinario",4176,29
"Miembro extraordinario",4170,350
"Miembro extraordinario",4169,350
"Miembro extraordinario",4167,350
"Miembro extraordinario",4166,350
"Miembro extraordinario",4164,350
"Miembro extraordinario",4163,350
"Miembro ordinario",4171,29
"Miembro ordinario",4170,29
"Miembro extraordinario",4160,350
"Miembro extraordinario",4157,350
"Miembro extraordinario",4148,350
"Miembro extraordinario",4146,350
"Miembro extraordinario",4143,350
"Miembro extraordinario",4137,350
"Miembro extraordinario",4110,350
"Miembro extraordinario",4099,350
"Miembro ordinario",4169,29
"Miembro ordinario",4167,29
"Miembro ordinario",4166,29
"Miembro ordinario",4164,29
"Miembro ordinario",4163,29
"Miembro extraordinario",4098,350
"Miembro ordinario",4160,29
"Miembro ordinario",4157,29
"Miembro ordinario",4148,29
"Miembro ordinario",4146,29
"Miembro extraordinario",4128,34
"Miembro extraordinario",4132,350
"Miembro extraordinario",4098,34
"Miembro extraordinario",4099,34
"Miembro extraordinario",4110,34
"Miembro extraordinario",4132,34
"Miembro extraordinario",4137,34
"Miembro ordinario",4211,29
"Miembro extraordinario",4128,350
"Miembro extraordinario",4211,34
"Miembro extraordinario",4206,34
"Miembro extraordinario",4198,34
"Miembro extraordinario",4191,34
"Miembro extraordinario",4163,34
"Miembro extraordinario",4185,34
"Miembro extraordinario",4177,34
"Miembro extraordinario",4176,34
"Miembro extraordinario",4171,34
"Miembro extraordinario",4170,34
"Miembro extraordinario",4169,34
"Miembro extraordinario",4167,34
"Miembro extraordinario",4166,34
"Miembro extraordinario",4164,34
"Miembro extraordinario",4143,34
"Miembro extraordinario",4146,34
"Miembro extraordinario",4148,34
"Miembro ordinario",4073,84
"Miembro extraordinario",3988,397
"Miembro extraordinario",3778,397
"Miembro extraordinario",3949,397
"Miembro extraordinario",3953,397
"Miembro extraordinario",3969,397
"Miembro extraordinario",3986,397
"Miembro extraordinario",3989,397
"Miembro extraordinario",4002,397
"Miembro extraordinario",4009,397
"Miembro extraordinario",4023,397
"Miembro extraordinario",4069,397
"Miembro extraordinario",4073,397
"Miembro extraordinario",4077,397
"Miembro extraordinario",4100,397
"Miembro extraordinario",4078,397
"Miembro extraordinario",4145,397
"Miembro extraordinario",4153,397
"Miembro ordinario",3988,84
"Miembro ordinario",3778,84
"Miembro ordinario",3949,84
"Miembro ordinario",3953,84
"Miembro ordinario",3969,84
"Miembro ordinario",3986,84
"Miembro ordinario",3989,84
"Miembro ordinario",4002,84
"Miembro ordinario",4009,84
"Miembro ordinario",4023,84
"Miembro ordinario",4069,84
"Miembro ordinario",4077,84
"Miembro ordinario",4100,84
