"id","name","type","parent_id","organization_id"
139,"Gestion de datos.","Linea",136,
140,"Gestion de servicios de TI.","Linea",136,
141,"Ingenieria de Software","Programa",,16
142,"Ingenieria de Software - GINSOFT","Grupo",,16
143,"Calidad de software.","Linea",142,
144,"Arquitectura de software.","Linea",142,
145,"Procesos de software.","Linea",142,
146,"Ingenieria de requisitos.","Linea",142,
147,"Construccion de software.","Linea",142,
148,"Computacion.","Linea",142,
149,"Estadistica aplicada - Computacion Cientifica, Matematica Aplicada - Biomatematica","Programa",,16
150,"Estadistica aplicada y Ciencia Computacional","Grupo",,16
151,"Modelos estadisticos.","Linea",150,
152,"Procesos estocasticos.","Linea",150,
153,"Estadistica descriptiva.","Linea",150,
154,"Estadistica inferencial.","Linea",150,
155,"Estadistica parametrica.","Linea",150,
156,"Demografia.","Linea",150,
157,"Modelos matematicos y tecnicos numericos computacionales.","Linea",150,
158,"Matematica aplicada y Computacion Cientifica","Grupo",,16
159,"Modelos y aplicaciones matematicas discretas y continuas.","Linea",158,
160,"Ecuaciones diferenciales y sistemas dinamicos.","Linea",158,
161,"Metodos numericos y modelacion matematica.","Linea",158,
162,"Dinamica poblacional.","Linea",158,
163,"Modelos matematicos y tecnicas numericas computacionales.","Linea",158,
164,"Optimizacion, control y probabilidad.","Linea",158,
165,"Modelado de sistemas.","Linea",158,
166,"Epidemiologia matematica.","Linea",158,
167,"Ecologia matematica.","Linea",158,
168,"Ensenanza Universitaria","Programa",,16
169,"Didactica en el nivel superior","Grupo",,16
170,"Evaluacion de sistemas educativos.","Linea",169,
171,"Metodos de ensenanza de la matematica.","Linea",169,
172,"Uso de las TIC en la ensenanza de la matematica.","Linea",169,
173,"Software educativo.","Linea",169,
174,"Energia - Sistemas electromecanicos","Programa",,19
175,"Investigacion en electromecanica","Grupo",,19
176,"Generacion, transmision y distribucion de energia electrica.","Linea",175,
177,"Modelamiento, simulacion y automatizacion de sistemas mecanicos, electricos y electronicos.","Linea",175,
178,"Analisis de materiales y nanotecnologia - Ciencias Fisicas","Programa",,19
179,"Investigacion en fisica","Grupo",,19
180,"Sintesis de nuevos materiales y analisis de estructuras y conformacion de piezas industriales","Linea",179,
181,"Fisica teorica y computacional.","Linea",179,
182,"Agrofisica","Programa",,10
183,"Investigacion en Agrofisica","Grupo",,10
184,"Hidraulica.","Linea",183,
185,"Riego Tecnificado.","Linea",183,
186,"Maquinaria y Mecanizacion Agricola.","Linea",183,
187,"Ciencias sociales y Desarrollo sostenible","Programa",,21
188,"Ciencias sociales y Desarrollo sostenible","Grupo",,21
189,"Contabilidad.","Linea",188,
190,"Auditoria.","Linea",188,
191,"Tributacion.","Linea",188,
192,"Finanzas.","Linea",188,
193,"Etica y responsabilidad social en las organizaciones.","Linea",188,
194,"Gestion, Economia y Negocios","Programa",,23
195,"Economia Empresarial, sectores productivos, sociales, cadena de valor","Grupo",,23
196,"Economia empresarial, sectores productivos, sociales, cadena de valor.","Linea",195,
197,"Economia Publica, Economia Financiera, Gestion y Politicas Publicas.","Grupo",,23
198,"Economia Publica, Economia financiera, Gestion y politicas publicas.","Linea",197,
199,"ECONOMIA DE LOS RECURSOS NATURALES Y DESARROLLO SOSTENIBLE","Programa",,23
200,"Bioeconomia, Sostenibilidad y Evaluacion de Impactos Economicos, Sociales y Ambientales.","Grupo",,23
201,"Bioeconomia, sostenibilidad y evaluacion de impactos economicos, sociales y ambientales.","Linea",200,
202,"Gestion Integral de Organizaciones","Programa",,23
203,"DESARROLLO EMPRESARIAL","Grupo",,23
204,"Desarrollo empresarial.","Linea",203,
205,"DESARROLLO DE INSTITUCIONES PUBLICAS Y SOCIALES","Grupo",,23
206,"Desarrollo de Instituciones publicas y sociales.","Linea",205,
207,"Ciencias Sociales - Desarrollo de la Educacion","Programa",,23
208,"DEMOCRACIA POLITICA Y GOBIERNO, ESTADO, SOCIEDAD Y FAMILIA, GESTION EDUCATIVA UNIVERSITARIA Y CALIDAD Y ETICA PROFESIONAL","Grupo",,23
209,"Democracia politica y gobierno.","Linea",208,
210,"Estado sociedad y familia.","Linea",208,
211,"Gestion educativa universitaria y calidad.","Linea",208,
212,"Etica profesional.","Linea",208,
213,"Estudios Filosoficos de las Ciencias y Tecnicas","Linea",208,
214,"Sociedad cultural y comunicacion.","Linea",208,
215,"Creacion y produccion artistica.","Linea",208,
216,"Desarrollo Social","Programa",,23
217,"CAPITAL HUMANO Y SALUD EN EL TRABAJO","Grupo",,23
218,"Capital Humano.","Linea",217,
219,"Gestion Empresarial.","Linea",217,
220,"Gestion de Operaciones.","Linea",217,
221,"Salud Ocupacional.","Linea",217,
